NAME OF DATA ELEMENT,developer-friendly name,VARIABLE NAME,API data type,VALUE,LABEL
Total share of enrollment of undergraduate degree-seeking students whose race is unknown,demographics.race_ethnicity.unknown,UGDS_UNKN,float,,
Total share of enrollment of undergraduate degree-seeking students who are white non-Hispanic,demographics.race_ethnicity.white_non_hispanic,UGDS_WHITENH,float,,
Total share of enrollment of undergraduate degree-seeking students who are black non-Hispanic,demographics.race_ethnicity.black_non_hispanic,UGDS_BLACKNH,float,,
Total share of enrollment of undergraduate degree-seeking students who are Asian/Pacific Islander,demographics.race_ethnicity.asian_pacific_islander,UGDS_API,float,,
Total share of enrollment of undergraduate degree-seeking students who are American Indian/Alaska Native,demographics.race_ethnicity.aian_prior_2009,UGDS_AIANOld,float,,
Total share of enrollment of undergraduate degree-seeking students who are Hispanic,demographics.race_ethnicity.hispanic_prior_2009,UGDS_HISPOld,float,,
Total share of enrollment of undergraduate students who are non-resident aliens,demographics.non_resident_aliens_2000,UG_NRA,float,,
Total share of enrollment of undergraduate students whose race is unknown,demographics.race_ethnicity.unknown_2000,UG_UNKN,float,,
Total share of enrollment of undergraduate students who are white non-Hispanic,demographics.race_ethnicity.white_2000,UG_WHITENH,float,,
Total share of enrollment of undergraduate students who are black non-Hispanic,demographics.race_ethnicity.black_2000,UG_BLACKNH,float,,
Total share of enrollment of undergraduate students who are Asian/Pacific Islander,demographics.race_ethnicity.api_2000,UG_API,float,,
Total share of enrollment of undergraduate students who are American Indian/Alaska Native,demographics.race_ethnicity.aian_2000,UG_AIANOld,float,,
Total share of enrollment of undergraduate students who are Hispanic,demographics.race_ethnicity.hispanic_2000,UG_HISPOld,float,,
"Share of undergraduate, degree-/certificate-seeking students who are part-time",part_time_share,PPTUG_EF,float, ,
"Share of undergraduate, degree-/certificate-seeking students who are part-time",part_time_share_2000,PPTUG_EF2,float,,
"Flag for currently operating institution, 0=closed, 1=operating",operating,CURROPER,integer,0,Not currently certified as an operating institution
,,,,1,Currently certified as operating
Average net price for Title IV institutions (public institutions),avg_net_price.public,NPT4_PUB,integer,,
Average net price for Title IV institutions (private for-profit and nonprofit institutions),avg_net_price.private,NPT4_PRIV,integer,,
Average net price for the largest program at the institution for program-year institutions,avg_net_price.program_year,NPT4_PROG,integer,,
"Average net price for the largest program at the institution for schools on ""other"" academic year calendars",avg_net_price.other_academic_year,NPT4_OTHER,integer,,
"Average net price for $0-$30,000 family income (public institutions)",net_price.public.by_income_level.0-30000,NPT41_PUB,integer,,
"Average net price for $30,001-$48,000 family income (public institutions)",net_price.public.by_income_level.30001-48000,NPT42_PUB,integer,,
"Average net price for $48,001-$75,000 family income (public institutions)",net_price.public.by_income_level.48001-75000,NPT43_PUB,integer,,
"Average net price for $75,001-$110,000 family income (public institutions)",net_price.public.by_income_level.75001-110000,NPT44_PUB,integer,,
"Average net price for $110,000+ family income (public institutions)",net_price.public.by_income_level.110001-plus,NPT45_PUB,integer,,
"Average net price for $0-$30,000 family income (private for-profit and nonprofit institutions)",net_price.private.by_income_level.0-30000,NPT41_PRIV,integer,,
"Average net price for $30,001-$48,000 family income (private for-profit and nonprofit institutions)",net_price.private.by_income_level.30001-48000,NPT42_PRIV,integer,,
"Average net price for $48,001-$75,000 family income (private for-profit and nonprofit institutions)",net_price.private.by_income_level.48001-75000,NPT43_PRIV,integer,,
"Average net price for $75,001-$110,000 family income (private for-profit and nonprofit institutions)",net_price.private.by_income_level.75001-110000,NPT44_PRIV,integer,,
"Average net price for $110,000+ family income (private for-profit and nonprofit institutions)",net_price.private.by_income_level.110001-plus,NPT45_PRIV,integer,,
"Average net price for $0-$30,000 family income (program-year institutions)",net_price.program_reporter.by_income_level.0-30000,NPT41_PROG,integer,,
"Average net price for $30,001-$48,000 family income (program-year institutions)",net_price.program_reporter.by_income_level.30001-48000,NPT42_PROG,integer,,
"Average net price for $48,001-$75,000 family income (program-year institutions)",net_price.program_reporter.by_income_level.48001-75000,NPT43_PROG,integer,,
"Average net price for $75,001-$110,000 family income (program-year institutions)",net_price.program_reporter.by_income_level.75001-110000,NPT44_PROG,integer,,
"Average net price for $110,000+ family income (program-year institutions)",net_price.program_reporter.by_income_level.110001-plus,NPT45_PROG,integer,,
"Average net price for $0-$30,000 family income (other academic calendar institutions)",net_price.other_acad_calendar.by_income_level.0-30000,NPT41_OTHER,integer,,
"Average net price for $30,001-$48,000 family income (other academic calendar institutions)",net_price.other_acad_calendar.by_income_level.30001-48000,NPT42_OTHER,integer,,
"Average net price for $48,001-$75,000 family income (other academic calendar institutions)",net_price.other_acad_calendar.by_income_level.48001-75000,NPT43_OTHER,integer,,
"Average net price for $75,001-$110,000 family income (other academic calendar institutions)",net_price.other_acad_calendar.by_income_level.75001-110000,NPT44_OTHER,integer,,
"Average net price for $110,000+ family income (other academic calendar institutions)",net_price.other_acad_calendar.by_income_level.110001-plus,NPT45_OTHER,integer,,
"Average net price for $0-$48,000 family income (public institutions)",net_price.public.by_income_level.0-48000,NPT4_048_PUB,integer,,
"Average net price for $0-$48,000 family income (private for-profit and nonprofit institutions)",net_price.private.by_income_level.0-48000,NPT4_048_PRIV,integer,,
"Average net price for $0-$48,000 family income (program-year institutions)",net_price.program_reporter.by_income_level.0-48000,NPT4_048_PROG,integer,,
"Average net price for $0-$48,000 family income (other academic calendar institutions)",net_price.other_acad_calendar.by_income_level.0-48000,NPT4_048_OTHER,integer,,
"Average net price for $30,001-$75,000 family income (public institutions)",net_price.public.by_income_level.30001-75000,NPT4_3075_PUB,integer,,
"Average net price for $30,001-$75,000 family income (private for-profit and nonprofit institutions)",net_price.private.by_income_level.30001-75000,NPT4_3075_PRIV,integer,,
"Average net price for $75,000+ family income (public institutions)",net_price.public.by_income_level.75000-plus,NPT4_75UP_PUB,integer,,
"Average net price for $75,000+ family income (private for-profit and nonprofit institutions)",net_price.private.by_income_level.75000-plus,NPT4_75UP_PRIV,integer,,
"Average net price for $30,001-$75,000 family income (program-year institutions)",net_price.program_reporter.by_income_level.30001-75000,NPT4_3075_PROG,integer,,
"Average net price for $30,001-$75,000 family income (other academic calendar institutions)",net_price.other_acad_calendar.by_income_level.30001-75000,NPT4_3075_OTHER,integer,,
"Average net price for $75,000+ family income (program-year institutions)",net_price.program_reporter.by_income_level.75000-plus,NPT4_75UP_PROG,integer,,
"Average net price for $75,000+ family income (other academic calendar institutions)",net_price.other_acad_calendar.by_income_level.75000-plus,NPT4_75UP_OTHER,integer,,
Number of Title IV students (public institutions),title_iv.public.all,NUM4_PUB,integer,,
Number of Title IV students (private for-profit and nonprofit institutions),title_iv.private.all,NUM4_PRIV,integer,,
Number of Title IV students (program-year institutions),title_iv.program_year,NUM4_PROG,integer,,
Number of Title IV students (other academic calendar institutions),title_iv.academic_year,NUM4_OTHER,integer,,
"Number of Title IV students, $0-$30,000 family income (public institutions)",title_iv.public.by_income_level.0-30000,NUM41_PUB,integer,,
"Number of Title IV students, $30,001-$48,000 family income (public institutions)",title_iv.public.by_income_level.30001-48000,NUM42_PUB,integer,,
"Number of Title IV students, $48,001-$75,000 family income (public institutions)",title_iv.public.by_income_level.48001-75000,NUM43_PUB,integer,,
"Number of Title IV students, $75,001-$110,000 family income (public institutions)",title_iv.public.by_income_level.75001-110000,NUM44_PUB,integer,,
"Number of Title IV students, $110,000+ family income (public institutions)",title_iv.public.by_income_level.110001-plus,NUM45_PUB,integer,,
"Number of Title IV students, $0-$30,000 family income (private for-profit and nonprofit institutions)",title_iv.private.by_income_level.0-30000,NUM41_PRIV,integer,,
"Number of Title IV students, $30,001-$48,000 family income (private for-profit and nonprofit institutions)",title_iv.private.by_income_level.30001-48000,NUM42_PRIV,integer,,
"Number of Title IV students, $48,001-$75,000 family income (private for-profit and nonprofit institutions)",title_iv.private.by_income_level.48001-75000,NUM43_PRIV,integer,,
"Number of Title IV students, $75,001-$110,000 family income (private for-profit and nonprofit institutions)",title_iv.private.by_income_level.75001-110000,NUM44_PRIV,integer,,
"Number of Title IV students, $110,000+ family income (private for-profit and nonprofit institutions)",title_iv.private.by_income_level.110001-plus,NUM45_PRIV,integer,,
"Number of Title IV students, $0-$30,000 family income (program-year institutions)",title_iv.program_reporter.by_income_level.0-30000,NUM41_PROG,integer,,
"Number of Title IV students, $30,001-$48,000 family income (program-year institutions)",title_iv.program_reporter.by_income_level.30001-48000,NUM42_PROG,integer,,
"Number of Title IV students, $48,001-$75,000 family income (program-year institutions)",title_iv.program_reporter.by_income_level.48001-75000,NUM43_PROG,integer,,
"Number of Title IV students, $75,001-$110,000 family income (program-year institutions)",title_iv.program_reporter.by_income_level.75001-110000,NUM44_PROG,integer,,
"Number of Title IV students, $110,000+ family income (program-year institutions)",title_iv.program_reporter.by_income_level.110001-plus,NUM45_PROG,integer,,
"Number of Title IV students, $0-$30,000 family income (other academic calendar institutions)",title_iv.other_acad_calendar.by_income_level.0-30000,NUM41_OTHER,integer,,
"Number of Title IV students, $30,001-$48,000 family income (other academic calendar institutions)",title_iv.other_acad_calendar.by_income_level.30001-48000,NUM42_OTHER,integer,,
"Number of Title IV students, $48,001-$75,000 family income (other academic calendar institutions)",title_iv.other_acad_calendar.by_income_level.48001-75000,NUM43_OTHER,integer,,
"Number of Title IV students, $75,001-$110,000 family income (other academic calendar institutions)",title_iv.other_acad_calendar.by_income_level.75001-110000,NUM44_OTHER,integer,,
"Number of Title IV students, $110,000+ family income (other academic calendar institutions)",title_iv.other_acad_calendar.by_income_level.110001-plus,NUM45_OTHER,integer,,
Average cost of attendance (academic year institutions),attendance.academic_year,COSTT4_A,integer,,
Average cost of attendance (program-year institutions),attendance.program_year,COSTT4_P,integer,,
In-state tuition and fees,tuition.in_state,TUITIONFEE_IN,integer,,
Out-of-state tuition and fees,tuition.out_of_state,TUITIONFEE_OUT,integer,,
Tuition and fees for program-year institutions,tuition.program_year,TUITIONFEE_PROG,integer,,
Net tuition revenue per full-time equivalent student,tuition_revenue_per_fte,TUITFTE,integer, ,
Instructional expenditures per full-time equivalent student,instructional_expenditure_per_fte,INEXPFTE,integer, ,
Average faculty salary,faculty_salary,AVGFACSAL,integer, ,
Proportion of faculty that is full-time,ft_faculty_rate,PFTFAC,float, ,
Percentage of undergraduates who receive a Pell Grant,pell_grant_rate,PCTPELL,float, ,
"Completion rate for first-time, full-time students at four-year institutions (150% of expected time to completion/6 years)",completion_rate_4yr_150nt,C150_4,float,,
"Completion rate for first-time, full-time students at less-than-four-year institutions (150% of expected time to completion)",completion_rate_less_than_4yr_150nt,C150_L4,float,,
"Completion rate for first-time, full-time students at four-year institutions (150% of expected time to completion/6 years), pooled for two year rolling averages",completion_rate_4yr_150nt_pooled,C150_4_POOLED,float,,
"Completion rate for first-time, full-time students at less-than-four-year institutions (150% of expected time to completion), pooled for two year rolling averages",completion_rate_less_than_4yr_150nt_pooled,C150_L4_POOLED,float,,
Years used for rolling averages of completion rate C150_[4/L4]_POOLED,pooled_yrs_used,poolyrs,integer,,
"Share of undergraduate students who are first-time, full-time degree-/certificate-seeking undergraduate students",share_first.time_full.time,PFTFTUG1_EF,float, ,
Adjusted cohort count for completion rate at four-year institutions (denominator of completion rate),completion_cohort_4yr_150nt,D150_4,integer,,
Adjusted cohort count for completion rate at less-than-four-year institutions (denominator of completion rate),completion_cohort_less_than_4yr_150nt,D150_L4,integer,,
"Adjusted cohort count for completion rate at four-year institutions (denominator of completion rate), pooled for two-year rolling averages",completion_cohort_4yr_150nt_pooled,D150_4_POOLED,integer,,
"Adjusted cohort count for completion rate at less-than-four-year institutions (denominator of completion rate), pooled for two-year rolling averages",completion_cohort_less_than_4yr_150nt_pooled,D150_L4_POOLED,integer,,
"Completion rate for first-time, full-time students at four-year institutions (150% of expected time to completion/6 years) for white students",completion_rate_4yr_150_white,C150_4_WHITE,float, ,
"Completion rate for first-time, full-time students at four-year institutions (150% of expected time to completion/6 years) for black students",completion_rate_4yr_150_black,C150_4_BLACK,float, ,
"Completion rate for first-time, full-time students at four-year institutions (150% of expected time to completion/6 years) for Hispanic students",completion_rate_4yr_150_hispanic,C150_4_HISP,float, ,
"Completion rate for first-time, full-time students at four-year institutions (150% of expected time to completion/6 years) for Asian students",completion_rate_4yr_150_asian,C150_4_ASIAN,float, ,
"Completion rate for first-time, full-time students at four-year institutions (150% of expected time to completion/6 years) for American Indian/Alaska Native students",completion_rate_4yr_150_aian,C150_4_AIAN,float, ,
"Completion rate for first-time, full-time students at four-year institutions (150% of expected time to completion/6 years) for Native Hawaiian/Pacific Islander students",completion_rate_4yr_150_nhpi,C150_4_NHPI,float, ,
"Completion rate for first-time, full-time students at four-year institutions (150% of expected time to completion/6 years) for students of two-or-more-races",completion_rate_4yr_150_2ormore,C150_4_2MOR,float, ,
"Completion rate for first-time, full-time students at four-year institutions (150% of expected time to completion/6 years) for non-resident alien students",completion_rate_4yr_150_nonresident.alien,C150_4_NRA,float, ,
"Completion rate for first-time, full-time students at four-year institutions (150% of expected time to completion/6 years) for students whose race is unknown",completion_rate_4yr_150_race.unknown,C150_4_UNKN,float, ,
"Completion rate for first-time, full-time students at four-year institutions (150% of expected time to completion/6 years) for white students",completion_rate_4yr_150_white_pre2010,C150_4_WHITENH,float, ,
"Completion rate for first-time, full-time students at four-year institutions (150% of expected time to completion/6 years) for black students",completion_rate_4yr_150_black_pre2010,C150_4_BLACKNH,float, ,
"Completion rate for first-time, full-time students at four-year institutions (150% of expected time to completion/6 years) for Asian/Pacific Islander students",completion_rate_4yr_150_api_pre2010,C150_4_API,float,,
"Completion rate for first-time, full-time students at four-year institutions (150% of expected time to completion/6 years) for American Indian/Alaska Native students",completion_rate_4yr_150_aian_pre2010,C150_4_AIANOld,float,,
"Completion rate for first-time, full-time students at four-year institutions (150% of expected time to completion/6 years) for Hispanic students",completion_rate_4yr_150_hispanic_pre2010,C150_4_HISPOld,float,,
"Completion rate for first-time, full-time students at less-than-four-year institutions (150% of expected time to completion/6 years) for white students",completion_rate_l4yr_150_white,C150_L4_WHITE,float,,
"Completion rate for first-time, full-time students at less-than-four-year institutions (150% of expected time to completion/6 years) for black students",completion_rate_l4yr_150_black,C150_L4_BLACK,float,,
"Completion rate for first-time, full-time students at less-than-four-year institutions (150% of expected time to completion/6 years) for Hispanic students",completion_rate_l4yr_150_hispanic,C150_L4_HISP,float,,
"Completion rate for first-time, full-time students at less-than-four-year institutions (150% of expected time to completion/6 years) for Asian students",completion_rate_l4yr_150_asian,C150_L4_ASIAN,float,,
"Completion rate for first-time, full-time students at less-than-four-year institutions (150% of expected time to completion/6 years) for American Indian/Alaska Native students",completion_rate_l4yr_150_aian,C150_L4_AIAN,float,,
"Completion rate for first-time, full-time students at less-than-four-year institutions (150% of expected time to completion/6 years) for Native Hawaiian/Pacific Islander students",completion_rate_l4yr_150_nhpi,C150_L4_NHPI,float,,
"Completion rate for first-time, full-time students at less-than-four-year institutions (150% of expected time to completion/6 years) for students of two-or-more-races",completion_rate_l4yr_150_2ormore,C150_L4_2MOR,float,,
"Completion rate for first-time, full-time students at less-than-four-year institutions (150% of expected time to completion/6 years) for non-resident alien students",completion_rate_l4yr_150_nonresident.alien,C150_L4_NRA,float,,
"Completion rate for first-time, full-time students at less-than-four-year institutions (150% of expected time to completion/6 years) for students whose race is unknown",completion_rate_l4yr_150_race.unknown,C150_L4_UNKN,float,,
"Completion rate for first-time, full-time students at less-than-four-year institutions (150% of expected time to completion/6 years) for white non-Hispanic students",completion_rate_l4yr_150_white_pre2010,C150_L4_WHITENH,float,,
"Completion rate for first-time, full-time students at less-than-four-year institutions (150% of expected time to completion/6 years) for black non-Hispanic students",completion_rate_l4yr_150_black_pre2010,C150_L4_BLACKNH,float,,
"Completion rate for first-time, full-time students at less-than-four-year institutions (150% of expected time to completion/6 years) for Asian/Pacific Islander students",completion_rate_l4yr_150_api_pre2010,C150_L4_API,float,,
"Completion rate for first-time, full-time students at less-than-four-year institutions (150% of expected time to completion/6 years) for American Indian/Alaska Native students",completion_rate_l4yr_150_aian_pre2010,C150_L4_AIANOld,float,,
"Completion rate for first-time, full-time students at less-than-four-year institutions (150% of expected time to completion/6 years) for Hispanic students",completion_rate_l4yr_150_hispanic_pre2010,C150_L4_HISPOld,float,,
"First-time, full-time student retention rate at four-year institutions",retention_rate.four_year.full_time,RET_FT4,float,,
"First-time, full-time student retention rate at less-than-four-year institutions",retention_rate.lt_four_year.full_time,RET_FTL4,float,,
"First-time, part-time student retention rate at four-year institutions",retention_rate.four_year.part_time,RET_PT4,float,,
"First-time, part-time student retention rate at less-than-four-year institutions",retention_rate.lt_four_year.part_time,RET_PTL4,float,,
Percent of all federal undergraduate students receiving a federal student loan,federal_loan_rate,PCTFLOAN,float, ,
Percentage of undergraduates aged 25 and above,share_25_older,UG25abv,float, ,
Two-year cohort default rate,2_yr_default_rate,CDR2,float, ,
Three-year cohort default rate,3_yr_default_rate,CDR3,float, ,
Percent died within 2 years at original institution,title_iv.died_by.2yrs,DEATH_YR2_RT,float,,
Percent completed within 2 years at original institution,title_iv.completed_by.2yrs,COMP_ORIG_YR2_RT,float,,
Percent who transferred to a 4-year institution and completed within 2 years,title_iv.transf_completed_4yr_by.2yrs,COMP_4YR_TRANS_YR2_RT,float,,
Percent who transferred to a 2-year institution and completed within 2 years,title_iv.transf_completed_2yr_by.2yrs,COMP_2YR_TRANS_YR2_RT,float,,
Percent withdrawn from original institution within 2 years ,title_iv.withdrawn_by.2yrs,WDRAW_ORIG_YR2_RT,float,,
Percent who transferred to a 4-year institution and withdrew within 2 years ,title_iv.transf_withdrawn_4yr_by.2yrs,WDRAW_4YR_TRANS_YR2_RT,float,,
Percent who transferred to a 2-year institution and withdrew within 2 years ,title_iv.transf_withdrawn_2yr_by.2yrs,WDRAW_2YR_TRANS_YR2_RT,float,,
Percent still enrolled at original institution within 2 years ,title_iv.still_enrolled_by.2yrs,ENRL_ORIG_YR2_RT,float,,
Percent who transferred to a 4-year institution and were still enrolled within 2 years ,title_iv.transf_still_enrolled_4yr_by.2yrs,ENRL_4YR_TRANS_YR2_RT,float,,
Percent who transferred to a 2-year institution and were still enrolled within 2 years,title_iv.transf_still_enrolled_2yr_by.2yrs,ENRL_2YR_TRANS_YR2_RT,float,,
Percent with status unknown within 2 years at original institution,title_iv.unknown_by.2yrs,UNKN_ORIG_YR2_RT,float,,
Percent who transferred to a 4-year institution and whose status is unknown within 2 years,title_iv.transf_unknown_4yr_by.2yrs,UNKN_4YR_TRANS_YR2_RT,float,,
Percent who transferred to a 2-year institution and whose status is unknown within 2 years,title_iv.transf_unknown_2yr_by.2yrs,UNKN_2YR_TRANS_YR2_RT,float,,
"Percent of low-income (less than $30,000 in nominal family income) students who died within 2 years at original institution",title_iv.low_inc.died_by.2yrs,LO_INC_DEATH_YR2_RT,float,,
"Percent of low-income (less than $30,000 in nominal family income) students who completed within 2 years at original institution",title_iv.low_inc.completed_by.2yrs,LO_INC_COMP_ORIG_YR2_RT,float,,
"Percent of low-income (less than $30,000 in nominal family income) students who transferred to a 4-year institution and completed within 2 years",title_iv.low_inc.transf_completed_4yr_by.2yrs,LO_INC_COMP_4YR_TRANS_YR2_RT,float,,
"Percent of low-income (less than $30,000 in nominal family income) students who transferred to a 2-year institution and completed within 2 years",title_iv.low_inc.transf_completed_2yr_by.2yrs,LO_INC_COMP_2YR_TRANS_YR2_RT,float,,
"Percent of low-income (less than $30,000 in nominal family income) students withdrawn from original institution within 2 years ",title_iv.low_inc.withdrawn_by.2yrs,LO_INC_WDRAW_ORIG_YR2_RT,float,,
"Percent of low-income (less than $30,000 in nominal family income) students who transferred to a 4-year institution and withdrew within 2 years ",title_iv.low_inc.transf_withdrawn_4yr_by.2yrs,LO_INC_WDRAW_4YR_TRANS_YR2_RT,float,,
"Percent of low-income (less than $30,000 in nominal family income) students who transferred to a 2-year institution and withdrew within 2 years ",title_iv.low_inc.transf_withdrawn_2yr_by.2yrs,LO_INC_WDRAW_2YR_TRANS_YR2_RT,float,,
"Percent of low-income (less than $30,000 in nominal family income) students who were still enrolled at original institution within 2 years ",title_iv.low_inc.still_enrolled_by.2yrs,LO_INC_ENRL_ORIG_YR2_RT,float,,
"Percent of low-income (less than $30,000 in nominal family income) students who transferred to a 4-year institution and were still enrolled within 2 years ",title_iv.low_inc.transf_still_enrolled_4yr_by.2yrs,LO_INC_ENRL_4YR_TRANS_YR2_RT,float,,
"Percent of low-income (less than $30,000 in nominal family income) students who transferred to a 2-year institution and were still enrolled within 2 years",title_iv.low_inc.transf_still_enrolled_2yr_by.2yrs,LO_INC_ENRL_2YR_TRANS_YR2_RT,float,,
"Percent of low-income (less than $30,000 in nominal family income) students with status unknown within 2 years at original institution",title_iv.low_inc.unknown_by.2yrs,LO_INC_UNKN_ORIG_YR2_RT,float,,
"Percent of low-income (less than $30,000 in nominal family income) students who transferred to a 4-year institution and whose status is unknown within 2 years",title_iv.low_inc.transf_unknown_4yr_by.2yrs,LO_INC_UNKN_4YR_TRANS_YR2_RT,float,,
"Percent of low-income (less than $30,000 in nominal family income) students who transferred to a 2-year institution and whose status is unknown within 2 years",title_iv.low_inc.transf_unknown_2yr_by.2yrs,LO_INC_UNKN_2YR_TRANS_YR2_RT,float,,
"Percent of middle-income (between $30,000 and $75,000 in nominal family income) students who died within 2 years at original institution",title_iv.mid_inc.died_by.2yrs,MD_INC_DEATH_YR2_RT,float,,
"Percent of middle-income (between $30,000 and $75,000 in nominal family income) students who completed within 2 years at original institution",title_iv.mid_inc.completed_by.2yrs,MD_INC_COMP_ORIG_YR2_RT,float,,
"Percent of middle-income (between $30,000 and $75,000 in nominal family income) students who transferred to a 4-year institution and completed within 2 years",title_iv.mid_inc.transf_completed_4yr_by.2yrs,MD_INC_COMP_4YR_TRANS_YR2_RT,float,,
"Percent of middle-income (between $30,000 and $75,000 in nominal family income) students who transferred to a 2-year institution and completed within 2 years",title_iv.mid_inc.transf_completed_2yr_by.2yrs,MD_INC_COMP_2YR_TRANS_YR2_RT,float,,
"Percent of middle-income (between $30,000 and $75,000 in nominal family income) students withdrawn from original institution within 2 years ",title_iv.mid_inc.withdrawn_by.2yrs,MD_INC_WDRAW_ORIG_YR2_RT,float,,
"Percent of middle-income (between $30,000 and $75,000 in nominal family income) students who transferred to a 4-year institution and withdrew within 2 years ",title_iv.mid_inc.transf_withdrawn_4yr_by.2yrs,MD_INC_WDRAW_4YR_TRANS_YR2_RT,float,,
"Percent of middle-income (between $30,000 and $75,000 in nominal family income) students who transferred to a 2-year institution and withdrew within 2 years ",title_iv.mid_inc.transf_withdrawn_2yr_by.2yrs,MD_INC_WDRAW_2YR_TRANS_YR2_RT,float,,
"Percent of middle-income (between $30,000 and $75,000 in nominal family income) students who were still enrolled at original institution within 2 years ",title_iv.mid_inc.still_enrolled_by.2yrs,MD_INC_ENRL_ORIG_YR2_RT,float,,
"Percent of middle-income (between $30,000 and $75,000 in nominal family income) students who transferred to a 4-year institution and were still enrolled within 2 years ",title_iv.mid_inc.transf_still_enrolled_4yr_by.2yrs,MD_INC_ENRL_4YR_TRANS_YR2_RT,float,,
"Percent of middle-income (between $30,000 and $75,000 in nominal family income) students who transferred to a 2-year institution and were still enrolled within 2 years",title_iv.mid_inc.transf_still_enrolled_2yr_by.2yrs,MD_INC_ENRL_2YR_TRANS_YR2_RT,float,,
"Percent of middle-income (between $30,000 and $75,000 in nominal family income) students with status unknown within 2 years at original institution",title_iv.mid_inc.unknown_by.2yrs,MD_INC_UNKN_ORIG_YR2_RT,float,,
"Percent of middle-income (between $30,000 and $75,000 in nominal family income) students who transferred to a 4-year institution and whose status is unknown within 2 years",title_iv.mid_inc.transf_unknown_4yr_by.2yrs,MD_INC_UNKN_4YR_TRANS_YR2_RT,float,,
"Percent of middle-income (between $30,000 and $75,000 in nominal family income) students who transferred to a 2-year institution and whose status is unknown within 2 years",title_iv.mid_inc.transf_unknown_2yr_by.2yrs,MD_INC_UNKN_2YR_TRANS_YR2_RT,float,,
"Percent of high-income (above $75,000 in nominal family income) students who died within 2 years at original institution",title_iv.high_inc.died_by.2yrs,HI_INC_DEATH_YR2_RT,float,,
"Percent of high-income (above $75,000 in nominal family income) students who completed within 2 years at original institution",title_iv.high_inc.completed_by.2yrs,HI_INC_COMP_ORIG_YR2_RT,float,,
"Percent of high-income (above $75,000 in nominal family income) students who transferred to a 4-year institution and completed within 2 years",title_iv.high_inc.transf_completed_4yr_by.2yrs,HI_INC_COMP_4YR_TRANS_YR2_RT,float,,
"Percent of high-income (above $75,000 in nominal family income) students who transferred to a 2-year institution and completed within 2 years",title_iv.high_inc.transf_completed_2yr_by.2yrs,HI_INC_COMP_2YR_TRANS_YR2_RT,float,,
"Percent of high-income (above $75,000 in nominal family income) students withdrawn from original institution within 2 years ",title_iv.high_inc.withdrawn_by.2yrs,HI_INC_WDRAW_ORIG_YR2_RT,float,,
"Percent of high-income (above $75,000 in nominal family income) students who transferred to a 4-year institution and withdrew within 2 years ",title_iv.high_inc.transf_withdrawn_4yr_by.2yrs,HI_INC_WDRAW_4YR_TRANS_YR2_RT,float,,
"Percent of high-income (above $75,000 in nominal family income) students who transferred to a 2-year institution and withdrew within 2 years ",title_iv.high_inc.transf_withdrawn_2yr_by.2yrs,HI_INC_WDRAW_2YR_TRANS_YR2_RT,float,,
"Percent of high-income (above $75,000 in nominal family income) students who were still enrolled at original institution within 2 years ",title_iv.high_inc.still_enrolled_by.2yrs,HI_INC_ENRL_ORIG_YR2_RT,float,,
"Percent of high-income (above $75,000 in nominal family income) students who transferred to a 4-year institution and were still enrolled within 2 years ",title_iv.high_inc.transf_still_enrolled_4yr_by.2yrs,HI_INC_ENRL_4YR_TRANS_YR2_RT,float,,
"Percent of high-income (above $75,000 in nominal family income) students who transferred to a 2-year institution and were still enrolled within 2 years",title_iv.high_inc.transf_still_enrolled_2yr_by.2yrs,HI_INC_ENRL_2YR_TRANS_YR2_RT,float,,
"Percent of high-income (above $75,000 in nominal family income) students with status unknown within 2 years at original institution",title_iv.high_inc.unknown_by.2yrs,HI_INC_UNKN_ORIG_YR2_RT,float,,
"Percent of high-income (above $75,000 in nominal family income) students who transferred to a 4-year institution and whose status is unknown within 2 years",title_iv.high_inc.transf_unknown_4yr_by.2yrs,HI_INC_UNKN_4YR_TRANS_YR2_RT,float,,
"Percent of high-income (above $75,000 in nominal family income) students who transferred to a 2-year institution and whose status is unknown within 2 years",title_iv.high_inc.transf_unknown_2yr_by.2yrs,HI_INC_UNKN_2YR_TRANS_YR2_RT,float,,
Percent of dependent students who died within 2 years at original institution,title_iv.depend.died_by.2yrs,DEP_DEATH_YR2_RT,float,,
Percent of dependent students who completed within 2 years at original institution,title_iv.depend.completed_by.2yrs,DEP_COMP_ORIG_YR2_RT,float,,
Percent of dependent students who transferred to a 4-year institution and completed within 2 years,title_iv.depend.transf_completed_4yr_by.2yrs,DEP_COMP_4YR_TRANS_YR2_RT,float,,
Percent of dependent students who transferred to a 2-year institution and completed within 2 years,title_iv.depend.transf_completed_2yr_by.2yrs,DEP_COMP_2YR_TRANS_YR2_RT,float,,
Percent of dependent students withdrawn from original institution within 2 years ,title_iv.depend.withdrawn_by.2yrs,DEP_WDRAW_ORIG_YR2_RT,float,,
Percent of dependent students who transferred to a 4-year institution and withdrew within 2 years ,title_iv.depend.transf_withdrawn_4yr_by.2yrs,DEP_WDRAW_4YR_TRANS_YR2_RT,float,,
Percent of dependent students who transferred to a 2-year institution and withdrew within 2 years ,title_iv.depend.transf_withdrawn_2yr_by.2yrs,DEP_WDRAW_2YR_TRANS_YR2_RT,float,,
Percent of dependent students who were still enrolled at original institution within 2 years ,title_iv.depend.still_enrolled_by.2yrs,DEP_ENRL_ORIG_YR2_RT,float,,
